"","beverage_category","beverage","beverage_prep","calories","total_fat_g","trans_fat_g","saturated_fat_g","sodium_mg","total_carbohydrates_g","cholesterol_mg","dietary_fibre_g","sugars_g","protein_g","vitamin_a_dv","vitamin_c_dv","calcium_dv","iron_dv","caffeine_mg"
"124","Tazo® Tea Drinks","Tazo® Green Tea Latte","Soymilk",230,"4.5",0.5,0,0,110,36,2,33,9,"10%","10%","35%","15%","55"
"125","Tazo® Tea Drinks","Tazo® Green Tea Latte","Grande Nonfat Milk",290,"0.5",0.2,0,10,160,57,1,56,14,"25%","15%","45%","4%","80"
"126","Tazo® Tea Drinks","Tazo® Green Tea Latte","2% Milk",350,"8",4,0.2,30,180,57,1,55,14,"20%","15%","45%","4%","80"
"127","Tazo® Tea Drinks","Tazo® Green Tea Latte","Soymilk",310,"6",1,0,0,140,50,3,46,11,"15%","15%","45%","25%","80"
"128","Tazo® Tea Drinks","Tazo® Green Tea Latte","Venti Nonfat Milk",370,"0.5",0.3,0,10,200,73,2,71,18,"30%","20%","60%","6%","110"
"129","Tazo® Tea Drinks","Tazo® Green Tea Latte","2% Milk",450,"10",5,0.3,40,230,72,2,71,17,"25%","20%","50%","6%","110"
"130","Tazo® Tea Drinks","Tazo® Green Tea Latte","Soymilk",390,"8",1,0,0,180,64,4,58,14,"20%","20%","60%","30%","110"
"131","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","Short Nonfat Milk",80,"0.1",0.1,0,0,45,16,0,16,4,"6%","0%","10%","0.00%","varies"
"132","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","2% Milk",90,"2",1,0.1,10,50,15,0,15,3,"6%","0%","10%","0.00%","varies"
"133","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","Soymilk",80,"1.5",0.2,0,0,40,14,0,13,3,"4%","0%","10%","6.00%","varies"
"134","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","Tall Nonfat Milk",120,"0.1",0.1,0,5,65,23,0,23,5,"10%","0%","20%","0.00%","varies"
"135","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","2% Milk",140,"3",1.5,0.1,15,75,23,0,23,5,"8%","0%","15%","0.00%","varies"
"136","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","Soymilk",130,"2.5",0.3,0,0,60,21,1,19,4,"6%","0%","20%","8.00%","varies"
"137","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","Grande Nonfat Milk",150,"0.2",0.1,0,5,85,31,0,31,7,"15%","0%","25%","0.00%","varies"
"138","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","2% Milk",190,"4",2,0.1,15,95,31,0,30,7,"10%","0%","25%","0.00%","varies"
"139","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","Soymilk",170,"3.5",0.4,0,0,80,27,1,25,6,"8%","0%","25%","10.00%","varies"
"140","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","Venti Nonfat Milk",190,"0.2",0.1,0,5,110,39,0,39,9,"15%","0%","30%","0.00%","varies"
"141","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","2% Milk",230,"5",2.5,0.2,20,125,38,0,38,9,"15%","0%","30%","0.00%","varies"
"142","Tazo® Tea Drinks","Tazo® Full-Leaf Tea Latte","Soymilk",210,"4",0.5,0,0,100,34,1,32,7,"10%","0%","30%","15.00%","varies"
"143","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","Short Nonfat Milk",80,"0.1",0.1,0,0,45,16,0,16,4,"6%","0%","10%","0%","0"
"144","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","2% Milk",90,"2",1,0.1,10,50,15,0,15,3,"6%","0%","10%","0%","0"
"145","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","Soymilk",80,"1.5",0.2,0,0,40,14,0,13,3,"4%","0%","10%","6%","0"
"146","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","Tall Nonfat Milk",120,"0.1",0.1,0,5,65,23,0,23,5,"10%","0%","20%","0%","0"
"147","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","2% Milk",140,"3",1.5,0.1,15,75,23,0,23,5,"8%","0%","15%","0%","0"
"148","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","Soymilk",130,"2.5",0.3,0,0,60,21,1,19,4,"6%","0%","20%","8%","0"
"149","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","Grande Nonfat Milk",150,"0.2",0.1,0,5,85,31,0,31,7,"15%","0%","25%","0%","0"
"150","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","2% Milk",190,"4",2,0.1,15,95,31,0,30,7,"10%","0%","25%","0%","0"
"151","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","Soymilk",170,"3.5",0.4,0,0,80,27,1,25,6,"8%","0%","25%","10%","0"
"152","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","Venti Nonfat Milk",190,"0.2",0.1,0,5,110,39,0,39,9,"15%","0%","30%","0%","0"
"153","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","2% Milk",230,"5",2.5,0.2,20,125,38,0,38,9,"15%","0%","30%","0%","0"
"154","Tazo® Tea Drinks","Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)","Soymilk",210,"4",0.5,0,0,100,34,1,32,7,"10%","0%","30%","15%","0"
"155","Shaken Iced Beverages","Iced Brewed Coffee (With Classic Syrup)","Tall",60,"0",0,0,0,4,15,0,15,0.2,"0%","0%","0%","0%","120"
"156","Shaken Iced Beverages","Iced Brewed Coffee (With Classic Syrup)","Grande",90,"0.1",0,0,0,5,21,0,21,0.3,"0%","0%","0%","0%","165"
"157","Shaken Iced Beverages","Iced Brewed Coffee (With Classic Syrup)","Venti",130,"0.1",0,0,0,5,31,0,31,0.4,"0%","0%","0%","0%","235"
"158","Shaken Iced Beverages","Iced Brewed Coffee (With Milk & Classic Syrup)","Tall Nonfat Milk",80,"0.1",0,0,0,25,18,0,18,2,"2%","0%","6%","0%","90"
"159","Shaken Iced Beverages","Iced Brewed Coffee (With Milk & Classic Syrup)","2% Milk",90,"1",0.5,0,5,25,18,0,18,2,"2%","0%","6%","0.00%",""
"160","Shaken Iced Beverages","Iced Brewed Coffee (With Milk & Classic Syrup)","Soymilk",80,"1",0.1,0,0,20,17,0,17,2,"2%","0%","6%","0%","90"
"161","Shaken Iced Beverages","Iced Brewed Coffee (With Milk & Classic Syrup)","Grande Nonfat Milk",110,"0.1",0,0,0,30,24,0,24,2,"4%","0%","8%","2%","90"
"162","Shaken Iced Beverages","Iced Brewed Coffee (With Milk & Classic Syrup)","2% Milk",120,"1.5",0.5,0,5,35,24,0,24,2,"4%","0%","8%","0%","125"
"163","Shaken Iced Beverages","Iced Brewed Coffee (With Milk & Classic Syrup)","Soymilk",110,"1",0.1,0,0,30,23,0,22,2,"2%","0%","8%","0%","125"
"164","Shaken Iced Beverages","Iced Brewed Coffee (With Milk & Classic Syrup)","Venti Nonfat Milk",160,"0.1",0.1,0,0,50,36,0,36,4,"6%","0%","10%","4%","125"
"165","Shaken Iced Beverages","Iced Brewed Coffee (With Milk & Classic Syrup)","2% Milk",180,"2",1,0.1,10,55,36,0,36,4,"6%","0%","10%","0%","170"
"166","Shaken Iced Beverages","Iced Brewed Coffee (With Milk & Classic Syrup)","Soymilk",170,"1.5",0.2,0,0,45,34,0,33,3,"4%","0%","10%","0%","170"
"167","Shaken Iced Beverages","Shaken Iced Tazo® Tea (With Classic Syrup)","Tall",60,"0",0,0,0,0,15,0,15,0,"0%","0%","0%","6%","170"
"168","Shaken Iced Beverages","Shaken Iced Tazo® Tea (With Classic Syrup)","Grande",80,"0",0,0,0,0,21,0,21,0,"0%","0%","0%","0%","Varies"
"169","Shaken Iced Beverages","Shaken Iced Tazo® Tea (With Classic Syrup)","Venti",120,"0",0,0,0,0,31,0,31,0,"0%","0%","0%","0%","Varies"
"170","Shaken Iced Beverages","Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)","Tall",100,"0",0,0,0,0,25,0,24,0.1,"0%","10%","0%","0%","Varies"
"171","Shaken Iced Beverages","Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)","Grande",130,"0",0,0,0,0,33,0,33,0.1,"0%","15%","0%","0%","Varies"
"172","Shaken Iced Beverages","Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)","Venti",190,"0",0,0,0,0,49,0,49,0.1,"0%","20%","0%","0%","Varies"
"173","Smoothies","Banana Chocolate Smoothie","Grande Nonfat Milk",280,"2.5",1.5,0,5,150,53,7,34,20,"10%","15%","20%","0%","Varies"
"174","Smoothies","Banana Chocolate Smoothie","2% Milk",300,"5",2.5,0.1,15,160,53,7,34,20,"8%","15%","20%","20%","15"
"175","Smoothies","Banana Chocolate Smoothie","Soymilk",290,"4.5",1.5,0,5,150,51,7,31,19,"6%","15%","20%","20%","15"
"176","Smoothies","Orange Mango Banana Smoothie","Grande Nonfat Milk",260,"1",0.3,0,5,120,54,6,37,16,"50%","80%","10%","30%","15"
"177","Smoothies","Orange Mango Banana Smoothie","2% Milk",270,"1.5",0.5,0,5,125,53,6,37,16,"50%","80%","10%","6%","0"
"178","Smoothies","Orange Mango Banana Smoothie","Soymilk",270,"1.5",0.4,0,5,120,53,6,36,15,"50%","80%","10%","6%","0"
"179","Smoothies","Strawberry Banana Smoothie","Grande Nonfat Milk",290,"1",0.3,0,5,125,58,7,41,16,"4%","100%","10%","8%","0"
"180","Smoothies","Strawberry Banana Smoothie","2% Milk",290,"2",1,0,5,125,58,7,41,16,"4%","100%","10%","8%","0"
"181","Smoothies","Strawberry Banana Smoothie","Soymilk",290,"2",0.4,0,5,120,58,8,40,16,"2%","100%","10%","8%","0"
"182","Frappuccino® Blended Coffee","Coffee","Tall Nonfat Milk",160,"0.1",0,0,0,160,36,0,36,3,"4%","0%","10%","10%","0"
"183","Frappuccino® Blended Coffee","Coffee","Whole Milk",180,"2.5",1.5,0.1,10,160,36,0,36,3,"4%","0%","8%","0%","70"
"184","Frappuccino® Blended Coffee","Coffee","Soymilk",160,"1.5",0.2,0,0,150,35,0,34,2,"4%","0%","10%","0%","70"
"185","Frappuccino® Blended Coffee","Coffee","Grande Nonfat Milk",220,"0.1",0.1,0,0,210,51,0,50,4,"6%","0%","10%","4%","70"
"186","Frappuccino® Blended Coffee","Coffee","Whole Milk",240,"3",2,0.1,10,220,50,0,50,3,"4%","0%","10%","0%","95"
"187","Frappuccino® Blended Coffee","Coffee","Soymilk",220,"1.5",0.2,0,0,210,49,0,47,3,"4%","0%","10%","0%","95"
"188","Frappuccino® Blended Coffee","Coffee","Venti Nonfat Milk",310,"0.1",0.1,0,5,300,70,0,69,6,"10%","0%","20%","6%","95"
"189","Frappuccino® Blended Coffee","Coffee","Whole Milk",350,"5",3,0.2,15,300,70,0,69,5,"8%","0%","15%","2%","130"
"190","Frappuccino® Blended Coffee","Coffee","Soymilk",310,"2.5",0.3,0,0,300,68,1,66,5,"6%","0%","20%","2%","130"
"191","Frappuccino® Blended Coffee","Mocha (Without Whipped Cream)","Tall Nonfat Milk",180,"0.5",0.4,0,0,150,42,1,40,3,"4%","0%","10%","8%","130"
"192","Frappuccino® Blended Coffee","Mocha (Without Whipped Cream)","Whole Milk",200,"3",2,0.1,10,160,42,1,40,3,"4%","0%","8%","6%","70"
"193","Frappuccino® Blended Coffee","Mocha (Without Whipped Cream)","Soymilk",180,"2",0.5,0,0,150,40,1,38,3,"4%","0%","10%","10%","70"
"194","Frappuccino® Blended Coffee","Mocha (Without Whipped Cream)","Grande Nonfat Milk",260,"1",0.5,0,0,220,61,1,58,4,"6%","0%","10%","8%","110"
"195","Frappuccino® Blended Coffee","Mocha (Without Whipped Cream)","Whole Milk",290,"4",2.5,0.1,10,220,61,1,58,4,"4%","0%","10%","8%","110"
"196","Frappuccino® Blended Coffee","Mocha (Without Whipped Cream)","Soymilk",260,"2.5",0.5,0,0,220,59,1,55,4,"4%","0%","10%","15%","110"
"197","Frappuccino® Blended Coffee","Mocha (Without Whipped Cream)","Venti Nonfat Milk",340,"1",0.5,0,5,300,80,1,76,7,"10%","0%","15%","10%","140"
"198","Frappuccino® Blended Coffee","Mocha (Without Whipped Cream)","Whole Milk",390,"6",3.5,0.1,15,300,80,1,76,6,"8%","0%","15%","10%","140"
"199","Frappuccino® Blended Coffee","Mocha (Without Whipped Cream)","Soymilk",350,"3",1,0,0,290,78,2,73,6,"6%","0%","20%","20%","140"
"200","Frappuccino® Blended Coffee","Caramel (Without Whipped Cream)","Tall Nonfat Milk",180,"0.1",0,0,0,160,42,0,41,3,"4%","0%","10%","0%","70"
"201","Frappuccino® Blended Coffee","Caramel (Without Whipped Cream)","Whole Milk",200,"2.5",1.5,0.1,10,160,42,0,41,3,"4%","0%","8%","0%","70"
"202","Frappuccino® Blended Coffee","Caramel (Without Whipped Cream)","Soymilk",180,"1.5",0.2,0,0,150,40,0,39,2,"4%","0%","10%","4%","70"
"203","Frappuccino® Blended Coffee","Caramel (Without Whipped Cream)","Grande Nonfat Milk",280,"0.1",0.1,0,0,220,60,0,59,4,"6%","0%","10%","0%","100"
"204","Frappuccino® Blended Coffee","Caramel (Without Whipped Cream)","Whole Milk",280,"3.5",2,0.1,10,220,60,0,59,3,"4%","0%","10%","0%","100"
"205","Frappuccino® Blended Coffee","Caramel (Without Whipped Cream)","Soymilk",260,"1.5",0.2,0,0,220,58,0,56,3,"4%","0%","10%","6%","100"
"206","Frappuccino® Blended Coffee","Caramel (Without Whipped Cream)","Venti Nonfat Milk",330,"0.1",0.1,0,5,290,78,0,77,5,"10%","0%","15%","2%","130"
"207","Frappuccino® Blended Coffee","Caramel (Without Whipped Cream)","Whole Milk",370,"5",3,0.1,15,300,78,0,77,5,"8%","0%","15%","2%","130"
"208","Frappuccino® Blended Coffee","Caramel (Without Whipped Cream)","Soymilk",340,"2.5",0.3,0,0,290,75,1,73,5,"6%","0%","20%","8%","130"
"209","Frappuccino® Blended Coffee","Java Chip (Without Whipped Cream)","Tall Nonfat Milk",220,"3",2,0,0,170,47,1,44,4,"4%","0%","10%","20%","75"
"210","Frappuccino® Blended Coffee","Java Chip (Without Whipped Cream)","Whole Milk",240,"5",3.5,0.1,10,170,47,1,44,4,"4%","0%","8%","20%","75"
"211","Frappuccino® Blended Coffee","Java Chip (Without Whipped Cream)","Soymilk",220,"4",2.5,0,0,170,45,1,42,3,"4%","0%","10%","20%","75"
"212","Frappuccino® Blended Coffee","Java Chip (Without Whipped Cream)","Grande Nonfat Milk",310,"4",3,0,0,250,67,2,62,5,"6%","0%","10%","25%","110"
"213","Frappuccino® Blended Coffee","Java Chip (Without Whipped Cream)","Whole Milk",340,"7",5,0.1,10,250,67,2,62,5,"4%","0%","10%","25%","110"
"214","Frappuccino® Blended Coffee","Java Chip (Without Whipped Cream)","Soymilk",310,"6",3.5,0,0,240,65,2,60,4,"4%","0%","10%","30%","110"
"215","Frappuccino® Blended Coffee","Java Chip (Without Whipped Cream)","Venti Nonfat Milk",420,"5",4,0,5,340,90,2,84,7,"10%","0%","20%","35%","145"
"216","Frappuccino® Blended Coffee","Java Chip (Without Whipped Cream)","Whole Milk",460,"10",7,0.2,15,340,90,2,84,7,"6%","0%","15%","35%","145"
"217","Frappuccino® Blended Coffee","Java Chip (Without Whipped Cream)","Soymilk",430,"8",4.5,0,0,330,88,3,80,6,"6%","0%","20%","40%","145"
"218","Frappuccino® Light Blended Coffee","Coffee","Tall Nonfat Milk",90,"0.1",0,0,0,160,20,0,19,3,"4%","0%","10%","0%","70"
"219","Frappuccino® Light Blended Coffee","Coffee","Grande Nonfat Milk",120,"0.1",0.1,0,0,210,26,0,26,3,"6%","0%","10%","0%","95"
"220","Frappuccino® Light Blended Coffee","Coffee","Venti Nonfat Milk",160,"0.1",0.1,0,5,270,34,0,33,5,"8%","0%","15%","2%","120"
"221","Frappuccino® Light Blended Coffee","Mocha","Tall Nonfat Milk",110,"0.5",0.4,0,0,150,24,1,23,3,"4%","0%","8%","6%","70"
"222","Frappuccino® Light Blended Coffee","Mocha","Grande Nonfat Milk",150,"1",0.5,0,0,200,33,1,30,4,"6%","0%","10%","8%","95"
"223","Frappuccino® Light Blended Coffee","Mocha","Venti Nonfat Milk",210,"1",0.5,0,5,280,46,1,42,6,"8%","0%","15%","10%","130"
"224","Frappuccino® Light Blended Coffee","Caramel","Tall Nonfat Milk",100,"0.1",0,0,0,140,23,0,23,3,"4%","0%","8%","0%","65"
"225","Frappuccino® Light Blended Coffee","Caramel","Grande Nonfat Milk",150,"0.1",0.1,0,0,200,33,0,32,3,"6%","0%","10%","0%","90"
"226","Frappuccino® Light Blended Coffee","Caramel","Venti Nonfat Milk",200,"0.1",0.1,0,5,270,44,0,43,5,"8%","0%","15%","2%","120"
"227","Frappuccino® Light Blended Coffee","Java Chip","Tall Nonfat Milk",150,"3",2,0,0,170,30,1,27,4,"4%","0%","10%","20%","70"
"228","Frappuccino® Light Blended Coffee","Java Chip","Grande Nonfat Milk",220,"4",3,0,0,240,43,2,39,5,"6%","0%","10%","25%","105"
"229","Frappuccino® Light Blended Coffee","Java Chip","Venti Nonfat Milk",290,"5",4,0,5,320,58,2,52,7,"8%","0%","15%","35%","165"
"230","Frappuccino® Blended Crème","Strawberries & Crème (Without Whipped Cream)","Tall Nonfat Milk",170,"0.1",0.1,0,0,140,39,0,38,3,"6%","6%","10%","2%","0"
"231","Frappuccino® Blended Crème","Strawberries & Crème (Without Whipped Cream)","Whole Milk",190,"3",1.5,0.1,10,140,38,0,37,3,"4%","6%","10%","2%","0"
"232","Frappuccino® Blended Crème","Strawberries & Crème (Without Whipped Cream)","Soymilk",170,"1.5",0.2,0,0,135,37,1,35,3,"4%","6%","10%","6%","0"
"233","Frappuccino® Blended Crème","Strawberries & Crème (Without Whipped Cream)","Grande Nonfat Milk",230,"0.2",0.1,0,0,190,53,0,52,4,"8%","6%","15%","4%","0"
"234","Frappuccino® Blended Crème","Strawberries & Crème (Without Whipped Cream)","Whole Milk",260,"4",2,0.1,10,190,53,0,52,4,"6%","6%","15%","4%","0"
"235","Frappuccino® Blended Crème","Strawberries & Crème (Without Whipped Cream)","Soymilk",240,"2",0.2,0,0,180,51,1,49,3,"4%","6%","15%","8%","0"
"236","Frappuccino® Blended Crème","Strawberries & Crème (Without Whipped Cream)","Venti Nonfat Milk",310,"0.2",0.1,0,5,260,70,0,69,6,"10%","8%","20%","4%","0"
"237","Frappuccino® Blended Crème","Strawberries & Crème (Without Whipped Cream)","Whole Milk",350,"6",3,0.2,15,260,70,0,68,6,"8%","8%","20%","4%","0"
"238","Frappuccino® Blended Crème","Strawberries & Crème (Without Whipped Cream)","Soymilk",320,"3 2",0.4,0,0,250,67,1,64,5,"6%","8%","20%","10%","0"
"239","Frappuccino® Blended Crème","Vanilla Bean (Without Whipped Cream)","Tall Nonfat Milk",170,"0.1",0.1,0,0,160,39,0,38,4,"6%","0%","10%","0%","0"
"240","Frappuccino® Blended Crème","Vanilla Bean (Without Whipped Cream)","Whole Milk",200,"3.5",2,0.1,10,160,39,0,38,3,"6%","0%","10%","0%","0"
"241","Frappuccino® Blended Crème","Vanilla Bean (Without Whipped Cream)","Soymilk",180,"1.5",0.2,0,0,160,37,1,35,3,"4%","0%","10%","6%","0"
"242","Frappuccino® Blended Crème","Vanilla Bean (Without Whipped Cream)","Grande Nonfat Milk",240,"0.1",0.1,0,5,230,56,0,55,5,"8%","0%","15%","0%","0"
